Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Age group (product.metafields.shopify.age-group),Care instructions (product.metafields.shopify.care-instructions),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Size (product.metafields.shopify.size),Target gender (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
purple-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/purple-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra/1-5ebdcb77.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
purple-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/purple-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra/2-a90d1a11.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
purple-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/purple-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra/3-caa1a13f.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
white-linen-jamdani-saree-flower-motif-needlework-korasutra,White Linen Jamdani Saree Flower Motif Needlework | Korasutra,"<p><span>Shop White Linen Jamdani Saree with delicate flower motif needlework. Handcrafted elegance by Korasutra – perfect for festive and elegant occasions. <br>Apt for Party and Office <br></span></p>
<p><span>Length is 6.25m with blouse piece </span></p>",Kora Sutra,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,,,true,Title,Default Title,,,,,,,,KSLNWE11,0.0,shopify,1,deny,manual,4000.00,,true,true,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1777788852/korasutra/products/images/white-linen-jamdani-saree-flower-motif-needlework-korasutra-0-8627d2cf.jpg,1,,false,,,,,,,,,,,,,,,,,white,linen,one-size,,,kg,,,active
white-linen-jamdani-saree-flower-motif-needlework-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/white-linen-jamdani-saree-flower-motif-needlework-korasutra/0-8627d2cf.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
white-linen-jamdani-saree-flower-motif-needlework-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/white-linen-jamdani-saree-flower-motif-needlework-korasutra/1-ab663a14.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
white-linen-jamdani-saree-flower-motif-needlework-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/white-linen-jamdani-saree-flower-motif-needlework-korasutra/2-0c560fdc.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
white-linen-jamdani-saree-flower-motif-needlework-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/white-linen-jamdani-saree-flower-motif-needlework-korasutra/3-72cc0e56.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
white-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra,White Linen Handloom Jamdani Saree Lotus Motif Needlework With Zari Pallu | Korasutra,"<p><span>Buy white linen handloom Jamdani saree with lotus motif needlework and rich zari pallu. Premium handcrafted sarees by Korasutra.</span></p>
<p><span>Length is 6.5m with blouse piece </span></p>",Kora Sutra,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,,,true,Title,Default Title,,,,,,,,KSLNWE14,0.0,shopify,1,deny,manual,6625.00,,true,true,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1777788962/korasutra/products/images/white-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasu-0-f6344d1d.jpg,1,,false,,,,,,,,,,,,,,,,,white,linen,one-size,,,kg,,,active
white-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/white-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra/0-f6344d1d.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
white-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/white-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra/1-e73653bb.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
white-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/white-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra/2-780473a6.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
white-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/white-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra/3-cc2d2ab5.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
white-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/white-linen-handloom-jamdani-saree-lotus-motif-needlework-with-zari-pallu-korasutra/4-5cdcbc80.jpg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
red-and-black-pure-silk-block-print-saree-with-geometric-pattern-korasutra,Red And Black Pure Silk Block Print Saree With Geometric Pattern | Korasutra,"<p><span>Elevate your ethnic wardrobe with this stunning Red and Black Pure Silk Block Print Saree from Korasutra. Crafted from luxurious pure silk, this saree showcases an elegant geometric block print pattern in rich red and deep black tones, creating a bold yet timeless appeal. The smooth, lustrous fabric drapes beautifully, offering both comfort and sophistication for festive occasions, weddings, parties, and cultural celebrations. Apt for Party and Office <br></span>Length 6.5 m with blouse piece</p>",Kora Sutra,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,,,true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,7499.00,,true,true,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/red-and-black-pure-silk-block-print-saree-with-geometric-pattern-korasutra/0-56b0d1f4.jpg,1,,false,,,,,,,,,,,,,,,,,red; black,silk,one-size,,,kg,,,active
red-and-black-pure-silk-block-print-saree-with-geometric-pattern-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/red-and-black-pure-silk-block-print-saree-with-geometric-pattern-korasutra/1-94aa1600.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
red-and-black-pure-silk-block-print-saree-with-geometric-pattern-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/red-and-black-pure-silk-block-print-saree-with-geometric-pattern-korasutra/2-42252d4a.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
red-and-black-pure-silk-block-print-saree-with-geometric-pattern-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/red-and-black-pure-silk-block-print-saree-with-geometric-pattern-korasutra/3-d0e20505.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
red-and-black-pure-silk-block-print-saree-with-geometric-pattern-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/red-and-black-pure-silk-block-print-saree-with-geometric-pattern-korasutra/4-2e814908.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
red-and-black-pure-silk-block-print-saree-with-geometric-pattern-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1778845378/korasutra/products/images/red-and-black-pure-silk-block-print-saree-with-geometric-pattern-korasutra-csv-6-20d2fe2cd1.jpg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
grey-and-pink-pure-silk-hand-batik-print-saree-with-floral-motif-korasutra,Grey and Pink Pure Silk Hand Batik Print Saree With Floral Motif Half & Half | Korasutra,"<p><span>Add timeless elegance to your wardrobe with this Yellow and Green Pure Silk Hand Batik Print Saree from Korasutra. Crafted from luxurious pure silk, this exquisite saree features a hand-batik with block print floral motif that blends traditional artistry with contemporary charm. The vibrant yellow and soothing green hues create a striking contrast, making it perfect for festive occasions, weddings, parties, and cultural celebrations.</span></p>
<p><span>Length 6.5 m with blouse piece</span></p>",Kora Sutra,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,,,true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,7750.00,,true,true,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1777788855/korasutra/products/images/grey-and-pink-pure-silk-hand-batik-print-saree-with-floral-motif-korasutra-0-61bc9098.jpg,1,,false,,,,,,,,,,,,,,,,,grey; pink,silk,one-size,,,kg,,,active
grey-and-pink-pure-silk-hand-batik-print-saree-with-floral-motif-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/grey-and-pink-pure-silk-hand-batik-print-saree-with-floral-motif-korasutra/0-61bc9098.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
grey-and-pink-pure-silk-hand-batik-print-saree-with-floral-motif-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/grey-and-pink-pure-silk-hand-batik-print-saree-with-floral-motif-korasutra/1-15be646b.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
grey-and-pink-pure-silk-hand-batik-print-saree-with-floral-motif-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/grey-and-pink-pure-silk-hand-batik-print-saree-with-floral-motif-korasutra/2-ed6f80f4.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
grey-and-pink-pure-silk-hand-batik-print-saree-with-floral-motif-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/grey-and-pink-pure-silk-hand-batik-print-saree-with-floral-motif-korasutra/3-4b6155bf.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
yellow-and-green-pure-silk-hand-batik-print-saree-with-floral-motif-korasutra,Yellow and Green Pure Silk Hand Batik Print Saree With Floral Motif Half & Half | Korasutra,"<p><span>Add timeless elegance to your wardrobe with this exquisite Yellow and Green Pure Silk Hand Batik Print Saree. Crafted from premium pure silk, this saree features a vibrant floral motif created using traditional hand batik techniques, making each piece uniquely beautiful. The rich mustard yellow border perfectly complements the lush green base, while the multicolored floral patterns add a graceful, artistic touch. Length 6.5 m with blouse piece </span></p>",Kora Sutra,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,,,true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,7750.00,,true,true,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/yellow-and-green-pure-silk-hand-batik-print-saree-with-floral-motif-korasutra/0-82407a12.jpg,1,,false,,,,,,,,,,,,,,,,,yellow; green; blue,silk,one-size,,,kg,,,active
yellow-and-green-pure-silk-hand-batik-print-saree-with-floral-motif-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/yellow-and-green-pure-silk-hand-batik-print-saree-with-floral-motif-korasutra/1-fad002ea.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
yellow-and-green-pure-silk-hand-batik-print-saree-with-floral-motif-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/yellow-and-green-pure-silk-hand-batik-print-saree-with-floral-motif-korasutra/2-2d557227.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
yellow-and-green-pure-silk-hand-batik-print-saree-with-floral-motif-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/yellow-and-green-pure-silk-hand-batik-print-saree-with-floral-motif-korasutra/3-166d7c17.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
yellow-and-green-pure-silk-hand-batik-print-saree-with-floral-motif-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/yellow-and-green-pure-silk-hand-batik-print-saree-with-floral-motif-korasutra/4-64e208b0.png,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
yellow-and-green-pure-silk-hand-batik-print-saree-with-floral-motif-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1778845377/korasutra/products/images/yellow-and-green-pure-silk-hand-batik-print-saree-with-floral-motif-korasutra-csv-6-107078bca1.png,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
yellow-and-green-pure-silk-hand-batik-print-saree-with-floral-motif-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1778845379/korasutra/products/images/yellow-and-green-pure-silk-hand-batik-print-saree-with-floral-motif-korasutra-csv-7-38a3f88413.png,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
yellow-and-green-pure-silk-hand-batik-print-saree-with-floral-motif-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1778845380/korasutra/products/images/yellow-and-green-pure-silk-hand-batik-print-saree-with-floral-motif-korasutra-csv-8-14b0570182.jpg,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
yellow-and-green-pure-silk-hand-batik-print-saree-with-floral-motif-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1778845380/korasutra/products/images/yellow-and-green-pure-silk-hand-batik-print-saree-with-floral-motif-korasutra-csv-9-55d33acf10.jpg,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
untitled-jan18_22-51,Green And Beige Pure Bishnupuri Silk Hand Print Batik Saree With Leaf Motif | Korasutra,"<p><span>Shop the Green and Beige Pure Bishnupuri Silk Hand Batik Print Saree with leaf motifs at Korasutra. Handcrafted elegance, perfect for Office and casual wear.</span></p>
<p><span>Length 6.5m with blouse piece </span></p>",Kora Sutra,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,,,true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,9000.00,,true,true,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1777788975/korasutra/products/images/untitled-jan18-22-51-0-6c36fe24.jpg,1,,false,,,,,,,,,,,,,,,,,beige; green,silk,one-size,,,kg,,,active
untitled-jan18_22-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/untitled-jan18_22-51/0-6c36fe24.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
untitled-jan18_22-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/untitled-jan18_22-51/1-694d19ab.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
untitled-jan18_22-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/untitled-jan18_22-51/2-02a242aa.png,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
untitled-jan18_22-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/untitled-jan18_22-51/3-74528bbe.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
untitled-jan18_22-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/untitled-jan18_22-51/4-8e45cd6a.jpg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
untitled-jan18_22-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1778845381/korasutra/products/images/untitled-jan18-22-51-csv-7-2a876f5ef4.jpg,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
untitled-jan18_22-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1778845382/korasutra/products/images/untitled-jan18-22-51-csv-8-ba7884d3aa.jpg,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
untitled-jan17_19-40,Peach Pink Linen Muslin Silk Saree With Bird Motifs | Korasutra,"<p><span>Shop the Peach Pink Silk Linen Saree with bird motifs at Korasutra. A graceful blend of silk and linen, perfect for festive, office, and casual wear.<br></span>Length with blouse piece 6.5m</p>",Kora Sutra,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,,,true,Title,Default Title,,,,,,,,KSLNPH18,0.0,shopify,1,deny,manual,9750.00,,true,true,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/untitled-jan17_19-40/0-d6b88151.jpg,1,,false,,,,,,,,,,,,,,,,,peach,silk-linen,one-size,,,kg,,,active
untitled-jan17_19-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/untitled-jan17_19-40/1-7456f984.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
untitled-jan17_19-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/untitled-jan17_19-40/2-23bac4cc.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
untitled-jan17_19-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/untitled-jan17_19-40/3-5f23c0c2.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
untitled-jan17_19-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/untitled-jan17_19-40/4-b21f3585.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
untitled-jan17_19-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1778845382/korasutra/products/images/untitled-jan17-19-40-csv-6-d31622bb8c.jpg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
black-and-yellow-pure-silk-block-print-geometric-pattern-korasutra,Black and yellow pure silk block print Saree with geometric pattern | Korasutra,"<p><span>Elevate your ethnic wardrobe with this elegant black and yellow pure silk saree, featuring a timeless hand block print geometric pattern. Crafted from luxurious pure silk, this saree offers a soft, smooth texture with a graceful drape that enhances its rich appeal.</span></p>
<p><span>Length is 6.5m with blouse piece</span></p>",Kora Sutra,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,,,true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,7250.00,,true,true,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1777788982/korasutra/products/images/black-and-yellow-pure-silk-block-print-geometric-pattern-korasutra-0-db091851.png,1,,false,,,,,,,,,,,,,,,,,yellow; black,silk,one-size,,,kg,,,active
black-and-yellow-pure-silk-block-print-geometric-pattern-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/black-and-yellow-pure-silk-block-print-geometric-pattern-korasutra/0-db091851.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
black-and-yellow-pure-silk-block-print-geometric-pattern-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/black-and-yellow-pure-silk-block-print-geometric-pattern-korasutra/1-76ac0cc8.png,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
black-and-yellow-pure-silk-block-print-geometric-pattern-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/black-and-yellow-pure-silk-block-print-geometric-pattern-korasutra/2-f6e1448a.png,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
black-and-yellow-pure-silk-block-print-geometric-pattern-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/black-and-yellow-pure-silk-block-print-geometric-pattern-korasutra/3-48f1cf3a.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
white-tussar-saree-with-pink-geometric-motifs-korasutra,White Tussar Saree With Pink Geometric Motifs Block Print | Korasutra,"<article class=""text-token-text-primary w-full focus:outline-none [--shadow-height:45px] has-data-writing-block:pointer-events-none has-data-writing-block:-mt-(--shadow-height) has-data-writing-block:pt-(--shadow-height) [&amp;:has([data-writing-block])&gt;*]:pointer-events-auto scroll-mt-(--header-height)"" dir=""auto"" data-turn-id=""b832b6c1-6426-44ea-945b-b986449639a9"" data-testid=""conversation-turn-1"" data-scroll-anchor=""false"" data-turn=""user"" tabindex=""-1"">
<div class=""text-base my-auto mx-auto pt-3 [--thread-content-margin:--spacing(4)] @w-sm/main:[--thread-content-margin:--spacing(6)] @w-lg/main:[--thread-content-margin:--spacing(16)] px-(--thread-content-margin)"">
<div class=""[--thread-content-max-width:40rem] @w-lg/main:[--thread-content-max-width:48rem] mx-auto max-w-(--thread-content-max-width) flex-1 group/turn-messages focus-visible:outline-hidden relative flex w-full min-w-0 flex-col"" tabindex=""-1"">
<div class=""flex max-w-full flex-col grow"">
<div data-message-author-role=""user"" data-message-id=""b832b6c1-6426-44ea-945b-b986449639a9"" dir=""auto"" class=""min-h-8 text-message relative flex w-full flex-col items-end gap-2 text-start break-words whitespace-normal [.text-message+&amp;]:mt-1"">
<div class=""flex w-full flex-col gap-1 empty:hidden items-end rtl:items-start"">
<div class=""user-message-bubble-color corner-superellipse/1.1 relative rounded-[18px] px-4 py-1.5 data-[multiline]:py-3 rounded-se-lg max-w-[var(--user-chat-width,70%)]"">
<div class=""whitespace-pre-wrap""><span style=""font-size: 0.875rem;"">Elevate your ethnic wardrobe with this elegant white Tussar silk saree adorned with contemporary pink geometric motifs. Crafted in natural Tussar silk, the saree offers a rich texture with a soft, breathable drape. The contrasting pink border and pallu add a refined pop of color, making it perfect for festive occasions, cultural gatherings, and graceful day wear. A timeless blend of tradition and modern design, ideal for women who appreciate understated luxury and artisanal craftsmanship.</span></div>
<div class=""whitespace-pre-wrap""><span style=""font-size: 0.875rem;""></span></div>
<div class=""whitespace-pre-wrap""><span style=""font-size: 0.875rem;"">Length is 6.5 m with blouse piece </span></div>
</div>
</div>
</div>
</div>
</div>
</div>
</article>",Kora Sutra,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,,,true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,8499.00,,true,true,,,,,,https://res.cloudinary.com/dcobed5zm/image/upload/v1777788985/korasutra/products/images/white-tussar-saree-with-pink-geometric-motifs-korasutra-0-f6c06d46.jpg,1,,false,,,,,adult,,,,,,,,,,adults,,white; pink,tussar,one-size,female,,kg,,,active
white-tussar-saree-with-pink-geometric-motifs-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/white-tussar-saree-with-pink-geometric-motifs-korasutra/0-f6c06d46.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
white-tussar-saree-with-pink-geometric-motifs-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/white-tussar-saree-with-pink-geometric-motifs-korasutra/1-a94c7abd.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
white-tussar-saree-with-pink-geometric-motifs-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/white-tussar-saree-with-pink-geometric-motifs-korasutra/2-8c7c154b.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
white-tussar-saree-with-pink-geometric-motifs-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/white-tussar-saree-with-pink-geometric-motifs-korasutra/3-afbd4973.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
white-tussar-saree-with-pink-geometric-motifs-korasutra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://iltyypblxerkwqglfvct.supabase.co/storage/v1/object/public/product-images/white-tussar-saree-with-pink-geometric-motifs-korasutra/4-2dfd2305.jpg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
